,017c_7byte
16850,00100001
16856,00001000
16869,00010111
16877,00100001
16894,00101010
16910,00110000
16926,00111100
16940,00100000
16953,00100011
16967,00110101
16983,00010010
16997,00001101
17014,00011001
17027,00100101
17041,00101111
17063,00100111
17080,00000101
17102,00000010
17115,00001101
17135,00001000
17147,00001010
17167,00110001
17183,00110101
17203,00100000
17220,00101011
17238,00111110
17253,00000000
17267,00101011
17283,00111101
17302,00100001
17315,00101001
17326,00111100
17343,00100000
17355,00001000
17374,00011111
17386,00101110
17397,00111100
17401,00011000
17421,00100100
17432,00111110
17445,00010000
17460,00011000
17475,00110001
17489,00111000
17517,00001001
17524,00111110
17537,00010101
17551,00100100
17561,00101100
17580,00011011
17593,00010000
17612,00111001
17632,00001011
17651,00011010
17657,00100001
17668,00110001
17681,00010011
17697,00101110
17708,00111111
17714,00010000
17729,00010010
17745,00100100
17756,00110001
17766,00000110
17777,00011101
17791,00101100
17804,00101111
17817,00010111
17838,00110111
17852,00010100
17874,00100000
17881,00111100
17897,00000000
17908,00011111
17921,00010000
17937,00101100
17953,00101000
17965,00110111
17969,00110110
17992,00100010
18001,00111110
18016,00000001
18025,00011001
18045,00100010
18057,00110001
18082,00101111
18089,00001101
18101,00011100
18105,00101001
18116,00111000
18127,00010100
18140,00100011
18151,00110001
18171,00000100
18177,00111111
18198,00110000
18214,00010100
18224,00010100
18237,00100011
18243,00100001
18254,00110000
18265,00110001
18290,00000001
18299,00111100
18318,00010101
18333,00100100
18350,00110000
18363,00011100
18376,00101011
18394,00100111
18402,00110111
18417,00111101
18433,00110111
18448,00100010
18459,00110010
18471,00001100
18481,00011011
18494,00101010
18513,00010101
18528,00110011
18536,00100100
18546,00110101
18553,00111010
18567,00100000
18578,00111111
18589,00100010
18600,00011001
18613,00101000
18631,00011011
18647,00001110
18661,00101001
18677,00100000
18688,00001000
18699,00010100
18709,00101100
18721,00111011
18740,00101101
18748,00101111
18769,00010001
18781,00010000
18803,00111101
18816,00001100
18824,00010010
18834,00100001
18852,00011001
18868,00010100
18889,00010000
18900,00000011
18922,00001010
18929,00100101
18952,00110001
18962,00000100
18976,00010001
18986,00111111
18996,00000010
19007,00001110
19017,00000000
19030,00101110
19044,00111001
19052,00111001
19063,00001100
19079,00011110
19089,00011000
19099,00100111
19108,00110011
19120,00100111
19138,00010101
19148,00100110
19165,00110111
19169,00011101
19179,00101100
19193,00100000
19209,00011001
19219,00101000
19231,00100100
19243,00011010
19253,00101011
19258,00110110
19269,00001001
19275,00111011
19292,00011111
19302,00101100
19314,00111011
19325,00001110
19329,00110110
19354,00110011
19358,00100111
19371,00110110
19382,00100100
19400,00011011
19410,00101000
19415,00111000
19428,00001101
19433,00011001
19443,00100110
19452,00100111
19469,00100100
19485,00010001
19501,00011011
19520,00000001
19543,00110110
19558,00000001
19569,00011000
19579,00100111
19586,00110000
19597,00000110
19604,00011011
19624,00000000
19634,00011010
19644,00100010
19662,00000100
19676,00111111
19686,00110011
19697,00000110
19704,00000101
19728,00011011
19737,00011011
19748,00101010
19754,00001100
19768,00011100
19776,00010111
19786,00101010
19795,00000110
19813,00000001
19832,00010100
19848,00111111
19861,00101100
19880,00111101
19891,00000000
19901,00011100
19913,00111100
19924,00000100
19933,00101100
19948,00101011
19968,00110011
19981,00000010
19996,00010001
20005,00000011
20024,00010000
20039,00011010
20053,00101100
20068,00010100
20087,00011100
20104,00110001
20115,00000100
20126,00010101
20136,00000110
20149,00010101
20159,00100111
20172,00101011
20185,00110010
20196,00000101
20205,00101110
20223,00111110
20236,00000001
20245,00111011
20264,00001110
20273,00100011
20283,00110111
20295,00001101
20311,00000010
20328,00100010
20348,00101110
20359,00010001
20371,00100000
20375,00111011
20388,00000000
20392,00011010
20404,00100110
20410,00011100
20432,00001100
20450,00001101
20460,00011100
20474,00101011
20485,00111000
20501,00101001
20516,00011100
20535,00000110
20546,00101010
20563,00000011
20573,00010010
20580,00001101
20592,00011100
20605,00011000
20620,00011010
20635,00010010
20651,00110110
20669,00110010
20685,00101000
20696,00110111
20710,00000100
20720,00111100
20738,00011010
20757,00010101
20775,00101010
20795,00001010
20811,00000101
20835,00001010
20846,00011100
20864,00101001
20882,00001000
20892,00001001
20909,00000101
20927,00110000
20951,00110000
20966,00010111
20985,00011001
21000,00010001
21015,00110001
21032,00110111
21047,00110000
21061,00000001
21074,00100000
21086,00101010
21106,00101100
21122,00000110
21133,00000001
21147,00100101
21163,00100101
21173,00110100
21189,00110111
21211,00100100
21225,00100000
21239,00010001
21255,00010110
21269,00011000
21281,00100111
21286,00110111
21300,00001010
21313,00000010
21328,00010011
21343,00111100
21356,00110100
21370,00011011
21386,00011000
21398,00100111
21418,00100101
21433,00000010
21445,00000100
21461,00010111
21482,00001001
21492,00000100
21511,00111010
21523,00001101
21535,00111000
21554,00000110
21570,00100001
21586,00100011
21601,00000000
21616,00100010
21631,00110111
21642,00001100
21650,00011001
21671,00101111
21678,00101100
21690,00111011
21702,00010001
21717,00010111
21737,00111010
21742,00010001
21753,00100000
21775,00100101
21791,00011000
21800,00011010
21811,00101011
21823,00101011
21838,00010000
21853,00011100
21862,00101011
